#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
       113   -3.8390596058e-01    3.2346765512e-01   -1.1541343842e+00    7.7022842362e-01   -1.1541343842e+00    1.2800000000e+02    6.0410991221e-05    1.0000000000e+00
       114   -3.9895155535e-01    3.4529735758e-01   -1.1724179657e+00    7.7346641034e-01   -1.1724179657e+00    1.2800000000e+02    6.0308222647e-05    1.0000000000e+00
       115   -3.9087037202e-01    3.3873763206e-01   -1.1672068195e+00    7.7633644746e-01   -1.1672068195e+00    1.2800000000e+02    6.0156938471e-05    1.0000000000e+00
       116   -3.9263918727e-01    3.2127167278e-01   -1.1760982219e+00    7.8345903461e-01   -1.1760982219e+00    1.2800000000e+02    6.0162299819e-05    1.0000000000e+00
       117   -4.0928823333e-01    3.9154637992e-01   -1.1933347347e+00    7.8404650140e-01   -1.1933347347e+00    1.2800000000e+02    6.0169150377e-05    1.0000000000e+00
       118   -3.9513449105e-01    3.2942471192e-01   -1.1798679912e+00    7.8473350013e-01   -1.1798679912e+00    1.2800000000e+02    6.0122226579e-05    1.0000000000e+00
       119   -3.9108199177e-01    3.3731287611e-01   -1.1797526626e+00    7.8867067079e-01   -1.1797526626e+00    1.2800000000e+02    6.0187988279e-05    1.0000000000e+00
       120   -4.0178586155e-01    3.8881167984e-01   -1.2058203398e+00    8.0403447824e-01   -1.2058203398e+00    1.2800000000e+02    6.0064038106e-05    1.0000000000e+00
       121   -3.9995373832e-01    3.3869041429e-01   -1.1936063728e+00    7.9365263446e-01   -1.1936063728e+00    1.2800000000e+02    6.0164296880e-05    1.0000000000e+00
       122   -4.0226931272e-01    3.3683441520e-01   -1.2042319860e+00    8.0196267333e-01   -1.2042319860e+00    1.2800000000e+02    6.0321225591e-05    1.0000000000e+00
       123   -4.1110329134e-01    3.4818932385e-01   -1.2041777777e+00    7.9307448631e-01   -1.2041777777e+00    1.2800000000e+02    6.0271909181e-05    1.0000000000e+00
       124   -4.2466928254e-01    3.9498031059e-01   -1.2310924836e+00    8.0642320111e-01   -1.2310924836e+00    1.2800000000e+02    5.9542138674e-05    1.0000000000e+00
       125   -4.2381781412e-01    4.0637479238e-01   -1.2284758316e+00    8.0465801751e-01   -1.2284758316e+00    1.2800000000e+02    6.0227622066e-05    1.0000000000e+00
       126   -4.3626472357e-01    4.3701337408e-01   -1.2414985854e+00    8.0523386185e-01   -1.2414985854e+00    1.2800000000e+02    5.9600156254e-05    1.0000000000e+00
       127   -4.4291826674e-01    5.5694201288e-01   -1.2556075916e+00    8.1268932490e-01   -1.2556075916e+00    1.2800000000e+02    6.0080166017e-05    1.0000000000e+00
       128   -4.5060450233e-01    6.1411880997e-01   -1.2603316711e+00    8.0972716880e-01   -1.2603316711e+00    1.2800000000e+02    6.0172006828e-05    1.0000000000e+00
       129   -4.4745329536e-01    4.7506234783e-01   -1.2526695679e+00    8.0521627257e-01   -1.2526695679e+00    1.2800000000e+02    6.0061386712e-05    1.0000000000e+00
       130   -4.5850447103e-01    5.3161753367e-01   -1.2694859032e+00    8.1098143213e-01   -1.2694859032e+00    1.2800000000e+02    6.0017402371e-05    1.0000000000e+00
       131   -4.5708495779e-01    4.9362465896e-01   -1.2634297539e+00    8.0634479615e-01   -1.2634297539e+00    1.2800000000e+02    6.0136030280e-05    1.0000000000e+00
       132   -4.6385934947e-01    5.3806602367e-01   -1.2667211441e+00    8.0286179459e-01   -1.2667211441e+00    1.2800000000e+02    5.9980444343e-05    1.0000000000e+00
       133   -4.6432994038e-01    5.2030031750e-01   -1.2589970835e+00    7.9466714314e-01   -1.2589970835e+00    1.2800000000e+02    5.9863320299e-05    1.0000000000e+00
       134   -4.6404937201e-01    5.4163957082e-01   -1.2522648862e+00    7.8821551414e-01   -1.2522648862e+00    1.2800000000e+02    5.9725571289e-05    1.0000000000e+00
       135   -4.6668953540e-01    6.1098429211e-01   -1.2507834703e+00    7.8409393494e-01   -1.2507834703e+00    1.2800000000e+02    6.0258642590e-05    1.0000000000e+00
       136   -4.9262911569e-01    7.6864904039e-01   -1.2814069060e+00    7.8877779030e-01   -1.2814069060e+00    1.2800000000e+02    6.0009238279e-05    1.0000000000e+00
       137   -5.0235952891e-01    9.6970646504e-01   -1.2917609031e+00    7.8940137417e-01   -1.2917609031e+00    1.2800000000e+02    6.0090698229e-05    1.0000000000e+00
       138   -4.7125358696e-01    6.2610725334e-01   -1.2560443623e+00    7.8479077530e-01   -1.2560443623e+00    1.2800000000e+02    5.9945571293e-05    1.0000000000e+00
       139   -4.6854788935e-01    6.7379312020e-01   -1.2658190679e+00    7.9727117853e-01   -1.2658190679e+00    1.2800000000e+02    6.0079648438e-05    1.0000000000e+00
       140   -4.8695156793e-01    7.5053278559e-01   -1.2816572484e+00    7.9470568044e-01   -1.2816572484e+00    1.2800000000e+02    6.0001293944e-05    1.0000000000e+00
       141   -4.5678512921e-01    5.9739096829e-01   -1.2437062039e+00    7.8692107466e-01   -1.2437062039e+00    1.2800000000e+02    6.0252221676e-05    1.0000000000e+00
       142   -4.7150164300e-01    8.7756756124e-01   -1.2589091668e+00    7.8740752381e-01   -1.2589091668e+00    1.2800000000e+02    5.9927475583e-05    1.0000000000e+00
       143   -4.3526457730e-01    5.0231411782e-01   -1.2255750663e+00    7.9031048898e-01   -1.2255750663e+00    1.2800000000e+02    6.0101596681e-05    1.0000000000e+00
       144   -4.3777883059e-01    5.4483867456e-01   -1.2218807228e+00    7.8410189224e-01   -1.2218807228e+00    1.2800000000e+02    6.0012856437e-05    1.0000000000e+00
       145   -4.1566129153e-01    3.4626200773e-01   -1.2021042908e+00    7.8644299923e-01   -1.2021042908e+00    1.2800000000e+02    5.9890996098e-05    1.0000000000e+00
       146   -4.0094972485e-01    3.3558920446e-01   -1.2000313931e+00    7.9908166830e-01   -1.2000313931e+00    1.2800000000e+02    5.9872260735e-05    1.0000000000e+00
       147   -3.9294330746e-01    3.2519231970e-01   -1.1933016402e+00    8.0035833278e-01   -1.1933016402e+00    1.2800000000e+02    5.9822778322e-05    1.0000000000e+00
       148   -4.0785916459e-01    3.8957122517e-01   -1.2172880592e+00    8.0942889460e-01   -1.2172880592e+00    1.2800000000e+02    6.0315053698e-05    1.0000000000e+00
       149   -3.9925829540e-01    3.9522350417e-01   -1.2202399414e+00    8.2098164603e-01   -1.2202399414e+00    1.2800000000e+02    5.9878149417e-05    1.0000000000e+00
       150   -3.9305842679e-01    3.6551292291e-01   -1.2111769785e+00    8.1811855176e-01   -1.2111769785e+00    1.2800000000e+02    6.0095390625e-05    1.0000000000e+00
       151   -3.7638332379e-01    2.9753483040e-01   -1.1954038666e+00    8.1902054277e-01   -1.1954038666e+00    1.2800000000e+02    6.0255571281e-05    1.0000000000e+00
       152   -3.8295153045e-01    3.1157545577e-01   -1.2035994599e+00    8.2064792946e-01   -1.2035994599e+00    1.2800000000e+02    5.9882026363e-05    1.0000000000e+00
       153   -3.9562463270e-01    3.5164629097e-01   -1.2094923001e+00    8.1386766742e-01   -1.2094923001e+00    1.2800000000e+02    5.9668041988e-05    1.0000000000e+00
       154   -4.1429687569e-01    3.8397429571e-01   -1.2329706261e+00    8.1867375041e-01   -1.2329706261e+00    1.2800000000e+02    5.9745532228e-05    1.0000000000e+00
       155   -3.9812892647e-01    3.6835410863e-01   -1.2182661126e+00    8.2013718612e-01   -1.2182661126e+00    1.2800000000e+02    5.9845932633e-05    1.0000000000e+00
       156   -4.1013507921e-01    4.0428191010e-01   -1.2310334589e+00    8.2089837965e-01   -1.2310334589e+00    1.2800000000e+02    6.0002988299e-05    1.0000000000e+00
       157   -4.3046501235e-01    4.6488889088e-01   -1.2586171948e+00    8.2815218242e-01   -1.2586171948e+00    1.2800000000e+02    5.9223188469e-05    1.0000000000e+00
